,store_name,address_x,id,address_y,category
0,우스마니아,서울특별시 용산구 이태원동 137-56,308561,서울시 용산구 이태원동 137-56,인도음식
2,미가미,서울특별시 서초구 서초동 1337-32 서초동 광일빌딩,155677,서울시 서초구 서초동 1337-32,일식
4,패밀리아,서울특별시 강남구 논현동 248-7 임피리얼 팰리스호텔 1층,430186,서울시 강남구 논현동 248-7 임피리얼 팰리스 호텔 2층,뷔페식
5,깔리,서울특별시 종로구 명륜4가 171,55195,서울특별시 종로구 명륜4가 170-3 2층,인도음식
8,세븐스퀘어,서울특별시 중구 태평로2가 23 더 플라자 2층,224459,서울특별시 중구 태평로2가 23-5,뷔페식
24,도원,서울특별시 중구 태평로2가 23 더 플라자 3층,96296,서울시 중구 태평로2가 23 더 플라자 호텔 3층,중식
58,옴 레스토랑 마포/공덕점,서울특별시 마포구 도화동 556 SK허브그린 201호 ,,,인도음식
59,옴 레스토랑 광화문점,서울특별시 종로구 신문로1가 2 선광빌딩,,,인도음식
60,인도로가는길,서울특별시 종로구 관훈동 198-36 오원빌딩,330294,서울특별시 종로구 관훈동 198-36 오원빌딩 2층,인도음식
61,타지,서울특별시 중구 명동1가 1-3 YWCA연합회,413527,서울시 중구 명동1가 1-3,인도음식
65,마지,서울특별시 종로구 체부동 132-1,130250,서울특별시 종로구 체부동 132-1,한식
69,모모야마,서울특별시 중구 소공동 1 롯데호텔 본관 38층,149326,서울특별시 중구 소공동 1 롯데호텔서울 본관 38층,일식
72,피에르 가니에르 서울,서울특별시 중구 소공동 1 롯데호텔 신관 35층,,,양식
78,무궁화,서울특별시 중구 소공동 1 롯데호텔 본관 38층,152208,서울특별시 중구 소공동 1 롯데호텔서울 본관 38층,한식
84,도림,서울특별시 중구 소공동 1 롯데호텔 본관 37층,95331,서울특별시 중구 소공동 1 롯데호텔서울 본관 37층,중식
86,페르시안궁전,서울특별시 종로구 명륜2가 121-1,430933,서울특별시 종로구 명륜2가 121-1 1층,인도음식
87,럭치미,서울특별시 영등포구 영등포동4가 425-4,120485,서울특별시 영등포구 영등포동4가 425-4,인도음식
88,포렌 레스토랑,서울특별시 용산구 이태원동 136-45,,,인도음식
89,델리인디아,서울특별시 마포구 서교동 402-6,94067,서울특별시 마포구 서교동 402-6 2층,인도음식
90,마더인디아,서울특별시 영등포구 여의도동 43-4 롯데캐슬아이비 지하1층 102호,127192,서울특별시 영등포구 여의도동 43-4,인도음식
91,오샬,서울특별시 성북구 안암동5가 146-5 문원빌딩,293759,서울시 성북구 안암동5가 146-5,인도음식
92,키친오브인디아,서울특별시 송파구 방이동 22 대우유토피아오피스텔,412197,서울특별시 송파구 방이동 22,인도음식
93,두르가 종각점,서울특별시 종로구 관철동 45-2,,,인도음식
94,두르가 본점,서울특별시 종로구 청진동 146,,,인도음식
95,두르가 여의도점,서울특별시 영등포구 여의도동 26-1,,,인도음식
96,베나레스 본점,서울특별시 성북구 안암동5가 102-59,,,인도음식
97,베나레스 경희대점,서울특별시 동대문구 회기동 16-36 유경빌딩,,,인도음식
98,베나레스 구로디지털점,서울 구로구 디지털로32길 79 ,,,인도음식
99,비나 레스토랑 2호점,서울특별시 성북구 안암동5가 102-4,,,인도음식
100,비나 레스토랑 1호점,서울특별시 동대문구 제기동 137-41,,,인도음식
101,탄두리카,서울특별시 관악구 신림동 1517-19,413859,서울특별시 강남구 삼성동 118-7,인도음식
102,채근담,서울특별시 강남구 대치동 983 태범빌딩,373452,서울시 강남구 대치동 983,한식
103,술탄케밥,서울특별시 용산구 이태원동 127-28,,,터키음식
104,루나아시아,서울특별시 강남구 삼성동 152-62 명당빌딩,123857,서울특별시 강남구 삼성동 152-62,인도음식
105,아건 레스토랑,서울특별시 서대문구 대현동 90-22 한빛슈테리움1차,258479,서울특별시 서대문구 대현동 56-51 2층,인도음식
106,오세계향,서울특별시 종로구 관훈동 59,293929,서울시 종로구 관훈동 59,한식
107,쌀람,서울특별시 용산구 한남동 732-21,,,터키음식
108,선사복집,서울특별시 강동구 암사동 504-38,220846,서울특별시 강동구 암사2동 504-38,일식
109,에이큐브호텔,서울특별시 중구 을지로5가 274-1 석광빌딩,,,뷔페식
110,춘자대구탕,서울특별시 마포구 서교동 375-5,385860,서울시 마포구 서교동 375-5,한식
111,포탈라레스토랑 종로점,서울특별시 종로구 관철동 35-2 수표교빌딩,,,인도음식
112,마칸레스토랑,서울특별시 용산구 한남동 763-23,,,한식
113,바바인디아,서울특별시 서초구 서초동 1328-11 대우도씨에빛2,165645,서울특별시 서초구 서초2동 1328-11 대우 도시씨에빛2차 2층,인도음식
114,이드,서울특별시 용산구 한남동 756-10,323434,서울특별시 용산구 한남동 756-10,한식
115,꾸스꾸스,서울특별시 종로구 체부동 95-1,58620,서울특별시 종로구 체부동 95-1,양식
116,파크카페 ,서울특별시 영등포구 여의도동 28-3 여의도파크센터,,,양식
117,마리무슬림푸드,서울특별시 용산구 이태원동 140-6,,,아시아음식
118,발우공양,서울특별시 종로구 견지동 71,169083,서울특별시 종로구 견지동 71 템플스테이 통합정보센터 5층,한식
120,케르반레스토랑 이태원점,서울특별시 용산구 이태원동 127-3 영일빌딩,,,터키음식
121,미스터케밥,서울특별시 용산구 이태원동 127-2,159619,서울특별시 용산구 이태원동 136-45,터키음식
122,미스터케밥,서울특별시 용산구 이태원동 127-2,159620,서울시 용산구 이태원1동 127-2,터키음식
124,미스터케밥,서울특별시 용산구 이태원동 127-2,159622,서울특별시 용산구 이태원동 136-45,터키음식
125,케르반 익스프레스 GFC,서울특별시 강남구 역삼동 737 강남파이낸스센터,,,터키음식
