,id_store_img_1,id_store_img_2,id_store_img_3,id_store,store_name,address_x,id,address_y,category,muslim_friendly,tel,working_time,day_closed,parking,attractions,active,image0,image1,image2,
0,1,2,3,1,우스마니아,서울특별시 용산구 이태원동 137-56,308561,서울시 용산구 이태원동 137-56,인도음식,무슬림 자가 인증,02-798-7155,11:00-22:00,,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/02/1c/fa/14/view-1.jpg,https://t1.daumcdn.net/cfile/tistory/99CEF14D5D49714927,https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23052&fileTy=MEDIA&fileNo=1&thumbTy=L,"INSERT INTO store_image_temp VALUES ('1','1','https://media-cdn.tripadvisor.com/media/photo-s/02/1c/fa/14/view-1.jpg','1'),('2','1','https://t1.daumcdn.net/cfile/tistory/99CEF14D5D49714927','1'),('3','1','https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23052&fileTy=MEDIA&fileNo=1&thumbTy=L','1');"
2,4,5,6,3,미가미,서울특별시 서초구 서초동 1337-32 서초동 광일빌딩,155677,서울시 서초구 서초동 1337-32,일식,무슬림 프렌들리,02-522-6522,11:00-23:00,명절 연휴,O,"강남역, 선정릉",1,https://t1.daumcdn.net/cfile/tistory/99028E425B5D3E4730,http://www.menupan.com/restaurant/restimg/006/zzmenuimg/j1039766_z.jpg,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbXCkJx%2FbtqAsS739gn%2FYXJG7gTMNCCOPwMLAsLw21%2Fimg.jpg,"INSERT INTO store_image_temp VALUES ('4','3','https://t1.daumcdn.net/cfile/tistory/99028E425B5D3E4730','1'),('5','3','http://www.menupan.com/restaurant/restimg/006/zzmenuimg/j1039766_z.jpg','1'),('6','3','https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbXCkJx%2FbtqAsS739gn%2FYXJG7gTMNCCOPwMLAsLw21%2Fimg.jpg','1');"
4,7,8,9,5,패밀리아,서울특별시 강남구 논현동 248-7 임피리얼 팰리스호텔 1층,430186,서울시 강남구 논현동 248-7 임피리얼 팰리스 호텔 2층,뷔페식,무슬림 프렌들리,02-3440-8090,07:00-22:0-,연중무휴,O,"봉은사, 코엑스, 선정릉",1,"https://mp-seoul-image-production-s3.mangoplate.com/1684/1176850_1566073907012_28748?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",https://media-cdn.tripadvisor.com/media/photo-s/16/c3/35/5e/photo1jpg.jpg,https://www.imperialpalace.co.kr/img/dining/img_buffet_top002.jpg,"INSERT INTO store_image_temp VALUES ('7','5','https://mp-seoul-image-production-s3.mangoplate.com/1684/1176850_1566073907012_28748?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80','1'),('8','5','https://media-cdn.tripadvisor.com/media/photo-s/16/c3/35/5e/photo1jpg.jpg','1'),('9','5','https://www.imperialpalace.co.kr/img/dining/img_buffet_top002.jpg','1');"
5,10,11,12,6,깔리,서울특별시 종로구 명륜4가 171,55195,서울특별시 종로구 명륜4가 170-3 2층,인도음식,무슬림 프렌들리,02-747-5050,12:00-21:30,,X,"창덕궁과 후원, 창경궁, 대학로",1,https://media-cdn.tripadvisor.com/media/photo-s/1a/99/3f/4f/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-s/1a/99/3f/4a/caption.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20201206104511589_photo_511a23d00ae4.jpg,"INSERT INTO store_image_temp VALUES ('10','6','https://media-cdn.tripadvisor.com/media/photo-s/1a/99/3f/4f/caption.jpg','1'),('11','6','https://media-cdn.tripadvisor.com/media/photo-s/1a/99/3f/4a/caption.jpg','1'),('12','6','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20201206104511589_photo_511a23d00ae4.jpg','1');"
8,13,14,15,9,세븐스퀘어,서울특별시 중구 태평로2가 23 더 플라자 2층,224459,서울특별시 중구 태평로2가 23-5,뷔페식,무슬림 프렌들리,02-310-7777,06:00-22:00,,O,"덕수궁, 청계천, 명동",1,https://www.hoteltheplaza.com/sp4/img/4_1_seven_square.jpg,https://www.hoteltheplaza.com/m/_resource/images/dining/gallery_seven_square1.jpg,https://mblogthumb-phinf.pstatic.net/MjAyMDA2MTFfMjE2/MDAxNTkxODYxNTAxNzc1.V-79tsxQcJmKam_s_4GEGlMyzg9DOZQ137jZ53BFFKMg.4KDdcJUFIkbwRuwlWSszhvu-pqar8UgNLJlvsfLYAd0g.JPEG.phjsunflower/1.JPG?type=w800,"INSERT INTO store_image_temp VALUES ('13','9','https://www.hoteltheplaza.com/sp4/img/4_1_seven_square.jpg','1'),('14','9','https://www.hoteltheplaza.com/m/_resource/images/dining/gallery_seven_square1.jpg','1'),('15','9','https://mblogthumb-phinf.pstatic.net/MjAyMDA2MTFfMjE2/MDAxNTkxODYxNTAxNzc1.V-79tsxQcJmKam_s_4GEGlMyzg9DOZQ137jZ53BFFKMg.4KDdcJUFIkbwRuwlWSszhvu-pqar8UgNLJlvsfLYAd0g.JPEG.phjsunflower/1.JPG?type=w800','1');"
24,16,17,18,25,도원,서울특별시 중구 태평로2가 23 더 플라자 3층,96296,서울시 중구 태평로2가 23 더 플라자 호텔 3층,중식,무슬림 프렌들리,02-310-7300,11:30-22:00(브레이크 타임 14:30-18:00),,O,"덕수궁, 청계천, 명동",1,https://i.ytimg.com/vi/S89_bmukTYQ/sddefault.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0b/80/bc/be/20160604-125140-largejpg.jpg,https://www.hoteltheplaza.com/m/_resource/images/dining/gallery_taoyuen2.jpg,"INSERT INTO store_image_temp VALUES ('16','25','https://i.ytimg.com/vi/S89_bmukTYQ/sddefault.jpg','1'),('17','25','https://media-cdn.tripadvisor.com/media/photo-s/0b/80/bc/be/20160604-125140-largejpg.jpg','1'),('18','25','https://www.hoteltheplaza.com/m/_resource/images/dining/gallery_taoyuen2.jpg','1');"
58,19,20,21,59,옴 레스토랑 마포/공덕점,서울특별시 마포구 도화동 556 SK허브그린 201호 ,,,인도음식,무슬림 프렌들리,02-725-4848,11:00-22:30,연중무휴,O,효창공원,1,https://media-cdn.tripadvisor.com/media/photo-s/14/f0/d9/72/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-p/14/f0/d9/7a/caption.jpg,https://mblogthumb-phinf.pstatic.net/MjAyMDA5MjZfNyAg/MDAxNjAxMDk5MzE2Mzk1.UWvyCBpjGC8bx7iHzoglvdkfbYkRj_UroWTQ_XBQmBog.LzmLzIQEN5WWyQ0-WIHdU7paZEATG2Sdz2AK7v7Ir5Yg.PNG.diddid004/%EC%98%B4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91-%EB%A7%88%ED%8F%AC%EA%B3%B5%EB%8D%95%EC%A0%90-.png?type=w800,"INSERT INTO store_image_temp VALUES ('19','59','https://media-cdn.tripadvisor.com/media/photo-s/14/f0/d9/72/caption.jpg','1'),('20','59','https://media-cdn.tripadvisor.com/media/photo-p/14/f0/d9/7a/caption.jpg','1'),('21','59','https://mblogthumb-phinf.pstatic.net/MjAyMDA5MjZfNyAg/MDAxNjAxMDk5MzE2Mzk1.UWvyCBpjGC8bx7iHzoglvdkfbYkRj_UroWTQ_XBQmBog.LzmLzIQEN5WWyQ0-WIHdU7paZEATG2Sdz2AK7v7Ir5Yg.PNG.diddid004/%EC%98%B4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91-%EB%A7%88%ED%8F%AC%EA%B3%B5%EB%8D%95%EC%A0%90-.png?type=w800','1');"
59,22,23,24,60,옴 레스토랑 광화문점,서울특별시 종로구 신문로1가 2 선광빌딩,,,인도음식,무슬림 프렌들리,02-723-4848,11:00-21:30,연중무휴,X,"북촌한옥마을, 경복궁",1,https://www.menupan.com/restaurant/restimg/005/zzmenuimg/t16843511_z.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200712090039_menu2_2e21d53a7e89.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0c/17/f8/bf/comfortable-and-neat.jpg,"INSERT INTO store_image_temp VALUES ('22','60','https://www.menupan.com/restaurant/restimg/005/zzmenuimg/t16843511_z.jpg','1'),('23','60','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200712090039_menu2_2e21d53a7e89.jpg','1'),('24','60','https://media-cdn.tripadvisor.com/media/photo-s/0c/17/f8/bf/comfortable-and-neat.jpg','1');"
60,25,26,27,61,인도로가는길,서울특별시 종로구 관훈동 198-36 오원빌딩,330294,서울특별시 종로구 관훈동 198-36 오원빌딩 2층,인도음식,무슬림 프렌들리,02-738-7773,11:30-22:00,,X,"종묘, 인사동",1,https://media-cdn.tripadvisor.com/media/photo-s/0c/b3/9c/9a/aloo-dum-curry-spicy.jpg,https://media-cdn.tripadvisor.com/media/photo-s/06/ec/ba/74/indoro-restaurant.jpg,https://www.islaminkorea.net/images/ko/larg/2019-01/4048-%EC%9D%B8%EB%8F%84%EB%A1%9C%EA%B0%80%EB%8A%94%EA%B8%B8-%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91-islaminkorea.net.jpg,"INSERT INTO store_image_temp VALUES ('25','61','https://media-cdn.tripadvisor.com/media/photo-s/0c/b3/9c/9a/aloo-dum-curry-spicy.jpg','1'),('26','61','https://media-cdn.tripadvisor.com/media/photo-s/06/ec/ba/74/indoro-restaurant.jpg','1'),('27','61','https://www.islaminkorea.net/images/ko/larg/2019-01/4048-%EC%9D%B8%EB%8F%84%EB%A1%9C%EA%B0%80%EB%8A%94%EA%B8%B8-%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91-islaminkorea.net.jpg','1');"
61,28,29,30,62,타지,서울특별시 중구 명동1가 1-3 YWCA연합회,413527,서울시 중구 명동1가 1-3,인도음식,무슬림 프렌들리,02-776-0677,11:30-22:00(브레이크 타임 14:30-17:30),,O,"명동, 청계천",1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE3utIA9T92BKi6MUTXMj-DDlZ9A1TBSOoWACgIBjuLg2k2EAzkLyVFRQE69IFnsIAMD4&usqp=CAU,https://media-cdn.tripadvisor.com/media/photo-s/06/f1/8b/75/taj-palace.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvisUhcyjwrxXKzN0LELvjpUuVbu75rf3KV6g5RpDFHvMTYwd0jNnpHWFmGkS0FaZbLC4&usqp=CAU,"INSERT INTO store_image_temp VALUES ('28','62','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE3utIA9T92BKi6MUTXMj-DDlZ9A1TBSOoWACgIBjuLg2k2EAzkLyVFRQE69IFnsIAMD4&usqp=CAU','1'),('29','62','https://media-cdn.tripadvisor.com/media/photo-s/06/f1/8b/75/taj-palace.jpg','1'),('30','62','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvisUhcyjwrxXKzN0LELvjpUuVbu75rf3KV6g5RpDFHvMTYwd0jNnpHWFmGkS0FaZbLC4&usqp=CAU','1');"
